
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/29/2022 4:35:42 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
7/30/2022 2:17:39 PM;12;15;lm5front;xbalcony3;(0.524, 0.000, -0.851);(-0.907, 0.000, 0.416);146.265
7/30/2022 2:17:39 PM;13;16;lm5front;ShopTent4;(0.926, 0.000, -0.377);(-0.595, 0.000, 0.800);148.754
7/30/2022 2:17:40 PM;14;17;lm5front;phoneAds6;(-0.635, 0.000, -0.773);(-0.324, 0.000, 0.946);121.674
7/30/2022 2:17:41 PM;15;18;lm5front;phoneAds6;(-0.635, 0.000, -0.773);(-0.287, 0.000, 0.958);123.904
7/30/2022 2:17:44 PM;16;19;lm1front;stairBalcony2;(-0.870, 0.000, 0.492);(-0.990, 0.000, -0.028);31.062
7/30/2022 2:17:44 PM;17;20;lm1front;xbalcony3;(0.149, 0.000, 0.988);(-0.994, 0.000, 0.007);98.153
7/30/2022 2:17:45 PM;18;22;lm1front;hotel5;(-0.178, 0.000, 0.984);(-0.980, 0.000, 0.159);70.508
7/30/2022 2:17:45 PM;19;23;lm1front;phoneAds6;(-0.540, 0.000, 0.842);(-0.960, 0.000, 0.255);42.455
7/30/2022 2:17:46 PM;20;24;lm1front;phoneAds6;(-0.540, 0.000, 0.842);(-0.950, 0.000, 0.291);40.267
7/30/2022 2:17:52 PM;21;25;lm2front;shopSigns1;(0.953, 0.000, -0.301);(-0.397, 0.000, 0.901);131.317
7/30/2022 2:17:52 PM;22;26;lm2front;xbalcony3;(0.424, 0.000, 0.905);(-0.145, 0.000, 0.968);33.616
7/30/2022 2:17:52 PM;23;27;lm2front;ShopTent4;(0.282, 0.000, 0.959);(-0.007, 0.000, 0.982);16.781
7/30/2022 2:17:53 PM;24;29;lm2front;phoneAds6;(-0.410, 0.000, 0.912);(0.270, 0.000, 0.951);40.062
7/30/2022 2:17:53 PM;25;30;lm2front;phoneAds6;(-0.410, 0.000, 0.912);(0.375, 0.000, 0.916);46.477
7/30/2022 2:18:21 PM;26;31;lm4front;shopSigns1;(-0.103, 0.000, -0.995);(-0.748, 0.000, -0.663);42.523
7/30/2022 2:18:22 PM;27;32;lm4front;stairBalcony2;(-0.267, 0.000, -0.964);(-0.921, 0.000, 0.388);97.345
7/30/2022 2:18:24 PM;28;33;lm4front;xbalcony3;(-0.021, 0.000, -0.997);(-0.957, 0.000, 0.285);105.351
7/30/2022 2:18:25 PM;29;34;lm4front;hotel5;(-0.928, 0.000, 0.361);(-0.962, 0.000, 0.271);5.530
7/30/2022 2:18:26 PM;30;36;lm4front;phoneAds6;(-0.908, 0.000, -0.418);(-0.968, 0.000, 0.249);39.133
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
8/1/2022 3:10:19 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
8/1/2022 3:17:50 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
8/1/2022 3:19:18 PM;;;;;;;
Time;TrialNum;TriggerNum,Referencelandmark;Displaylandmark, GroundTruthDirection; EstDirection; Angle
8/1/2022 4:04:45 PM;;;;;;;
8/1/2022 4:05:14 PM;0;1;lm4front;shopSigns1;(-0.103, 0.000, -0.995);(-0.974, 0.000, 0.206);96.034
8/1/2022 4:05:15 PM;1;2;lm4front;stairBalcony2;(-0.267, 0.000, -0.964);(-0.905, 0.000, 0.420);99.408
8/1/2022 4:05:15 PM;2;3;lm4front;xbalcony3;(-0.021, 0.000, -0.997);(-0.783, 0.000, 0.620);127.162
